City Name,Country,Latitude,Longitude,Temperature (F),Humidity,Cloudiness,Wind Speed (MPH),Time of Data Calculation
manakara,MG,-22.13,48.02,69.48,87,66,5.26,2020-10-19 23:59:30
lucapa,AO,-8.42,20.74,66.42,89,7,2.82,2020-10-20 00:05:17
cherskiy,RU,68.75,161.3,20.59,94,7,3.8,2020-10-19 23:58:53
hasaki,JP,35.73,140.83,58.3,87,75,9.17,2020-10-19 23:58:49
cape town,ZA,-33.93,18.42,56.44,93,20,5.82,2020-10-20 00:03:49
thompson,CA,55.74,-97.86,28.4,68,90,5.82,2020-10-20 00:05:17
mahebourg,MU,-20.41,57.7,73.4,78,40,9.17,2020-10-19 23:59:31
talnakh,RU,69.49,88.4,14,92,90,6.71,2020-10-19 23:59:12
vaitape,PF,-16.52,-151.75,79.92,78,2,19.66,2020-10-20 00:04:53
ushuaia,AR,-54.8,-68.3,41,80,75,34.45,2020-10-19 23:57:40
deputatskiy,RU,69.3,139.9,9.37,95,97,4.09,2020-10-19 23:59:26
butaritari,KI,3.07,172.79,82.38,76,63,10.56,2020-10-19 23:58:23
lavrentiya,RU,65.58,-171,36.12,74,13,5.75,2020-10-19 23:59:40
yellowknife,CA,62.46,-114.35,26.76,73,75,3.36,2020-10-20 00:00:45
jamestown,US,42.1,-79.24,50.5,100,90,6.93,2020-10-19 23:54:17
mar del plata,AR,-38,-57.56,54.77,43,75,11.41,2020-10-19 23:54:20
hilo,US,19.73,-155.09,79.41,54,1,13.87,2020-10-19 23:58:23
albany,US,42.6,-73.97,55.45,87,99,5.5,2020-10-19 23:58:22
bluff,NZ,-46.6,168.33,50,86,84,8.99,2020-10-19 23:58:17
mataura,NZ,-46.19,168.86,50,86,62,8.99,2020-10-19 23:58:26
camacha,PT,33.08,-16.33,69.8,83,40,10.29,2020-10-19 23:59:27
rikitea,PF,-23.12,-134.97,74.48,76,0,11.12,2020-10-20 00:01:13
manono,CD,-7.3,27.42,70.47,84,46,1.92,2020-10-20 00:05:22
koslan,RU,63.46,48.9,32.7,95,98,7.09,2020-10-20 00:05:22
ouadda,CF,8.08,22.4,68.86,76,99,2.21,2020-10-20 00:05:22
bambous virieux,MU,-20.34,57.76,72.27,78,40,9.17,2020-10-19 23:57:17
labuhan,ID,-6.88,112.21,80.49,75,70,6.73,2020-10-20 00:00:53
vanavara,RU,60.34,102.28,24.51,96,100,14.5,2020-10-20 00:03:01
sibu,MY,2.3,111.82,77,94,20,4.7,2020-10-20 00:05:22
alice springs,AU,-23.7,133.88,75.2,60,20,6.93,2020-10-19 23:55:08
labytnangi,RU,66.66,66.42,14.04,93,0,4.52,2020-10-20 00:05:23
san patricio,US,28.02,-97.52,81.81,74,20,14.99,2020-10-20 00:05:23
sajkas,RS,45.27,20.09,38.98,100,14,4.61,2020-10-20 00:05:23
new norfolk,AU,-42.78,147.06,58.66,67,59,1.01,2020-10-19 23:58:37
krutinka,RU,56.01,71.51,43.48,78,90,9.33,2020-10-20 00:05:23
balkanabat,TM,39.51,54.37,56.68,36,0,1.23,2020-10-20 00:05:23
sinesti,RO,47.12,27.18,40.14,93,16,3.36,2020-10-20 00:05:24
kandava,LV,57.04,22.77,38.03,81,88,8.25,2020-10-20 00:05:24
bethel,US,41.37,-73.41,55.69,82,20,3.36,2020-10-19 23:58:09
ilulissat,GL,69.22,-51.1,41,56,100,17.22,2020-10-19 23:58:54
warkworth,NZ,-36.4,174.67,67.05,73,100,5.01,2020-10-20 00:05:24
punta arenas,CL,-53.15,-70.92,41,75,20,33.33,2020-10-19 23:54:47
saskylakh,RU,71.92,114.08,21.65,97,91,4.85,2020-10-19 23:58:41
olinda,BR,-8.01,-34.86,80.6,69,40,9.17,2020-10-20 00:05:24
adrar,MR,20.5,-10.07,83.97,18,0,9.78,2020-10-20 00:05:25
hobart,AU,-42.88,147.33,59.95,58,20,4.7,2020-10-19 23:54:26
dokka,NO,60.84,10.06,31.53,85,100,1.48,2020-10-20 00:05:25
narsaq,GL,60.92,-46.05,33.8,78,96,4.7,2020-10-19 23:58:17
saldanha,ZA,-33.01,17.94,57.2,76,98,2.24,2020-10-19 23:58:36
port elizabeth,ZA,-33.92,25.57,60.8,82,20,17.22,2020-10-19 23:58:42
znamenskoye,RU,57.13,73.83,41.47,87,98,5.77,2020-10-20 00:05:25
anton lizardo,MX,19.05,-95.98,84.94,70,20,9.17,2020-10-20 00:05:26
lompoc,US,34.64,-120.46,65.8,72,1,11.41,2020-10-19 23:54:51
kodiak,US,57.79,-152.41,46.4,61,75,11.41,2020-10-19 23:58:17
